name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;844;0;1034;3174;2023;3174;2014;0
header;827;82;827;102;865;102;865;82
A;2009;128;2009;150;2010;150;2010;128
A;2010;306;2010;312;2011;312;2011;306
A;1388;590;1388;601;1409;601;1409;590
A;1381;645;1381;662;1388;662;1388;645
A;1342;646;1342;663;1349;663;1349;646
A;1136;651;1136;663;1171;663;1171;651
A;1188;671;1188;679;1211;679;1211;671
A;1188;709;1188;717;1211;717;1211;709
B;1675;905;1675;958;1729;958;1729;905
D;1509;1049;1509;1071;1535;1071;1535;1049
A;934;1165;934;1169;945;1169;945;1165
A;1630;1367;1630;1367;1636;1367;1636;1367
A;1630;1457;1630;1457;1637;1457;1637;1457
B;1701;1461;1701;1502;1718;1502;1718;1461
A;975;1612;975;1666;1032;1666;1032;1612
A;1328;1996;1328;2053;1382;2053;1382;1996
A;1028;2459;1028;2472;1036;2472;1036;2459
A;1767;2924;1767;2937;1775;2937;1775;2924
A;1684;2953;1684;3007;1738;3007;1738;2953
