name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;810;0;928;3155;1043;3155;1043;0
header;200;171;200;212;1835;212;1835;171
A;998;235;998;262;1021;262;1021;235
A;821;374;821;382;829;382;829;374
A;856;510;856;518;864;518;864;510
A;869;1237;869;1238;870;1238;870;1237
A;881;1288;881;1295;887;1295;887;1288
C;1009;1647;1009;1675;1028;1675;1028;1647
B;884;1848;884;1860;892;1860;892;1848
A;943;2000;943;2000;943;2000;943;2000
B;888;2155;888;2174;903;2174;903;2155
D;1007;2322;1007;2352;1032;2352;1032;2322
B;1026;2883;1026;2899;1047;2899;1047;2883
